City,Country,Date,Latitude,Longitude,Temperature,Wind Speed,Cloudiness,Humidity
Takoradi,GH,4/18/2018 18:26,4.89,-1.75,83.44,11.77,8,96
Gairatganj,IN,4/18/2018 18:26,23.42,78.24,77.05,8.41,0,22
Harwich,US,4/18/2018 18:15,41.69,-70.08,53.6,19.46,1,43
Gigmoto,PH,4/18/2018 18:26,13.78,124.39,76.87,7.07,0,100
Togur,RU,4/18/2018 18:26,58.36,82.83,6.85,1.92,8,79
Shakawe,BW,4/18/2018 18:26,-18.36,21.84,74.98,5.5,0,39
El Campo,US,4/18/2018 17:55,29.2,-96.27,78.8,8.05,1,50
Bagdarin,RU,4/18/2018 18:26,54.44,113.59,22.15,10.42,0,35
Torbay,CA,4/18/2018 18:00,47.66,-52.73,46.4,26.4,90,100
Guerrero Negro,MX,4/18/2018 18:26,27.97,-114.04,70.12,4.83,0,57
Grand Bank,CA,4/18/2018 18:00,47.1,-55.77,42.8,13.87,40,75
Rosetta,EG,4/18/2018 17:00,31.4,30.42,68,11.41,40,77
Winnemucca,US,4/18/2018 17:56,40.97,-117.74,51.8,5.82,1,29
Manokwari,ID,4/18/2018 18:26,-0.87,134.08,81.73,6.17,56,100
Mantua,IT,4/18/2018 17:55,45.16,10.79,71.6,3.36,0,43
Nouadhibou,MR,4/18/2018 18:00,20.93,-17.03,69.8,13.87,20,73
Jiazi,CN,4/18/2018 17:00,19.61,110.49,71.6,6.71,90,100
Leeton,AU,4/18/2018 18:26,-34.55,146.4,62.11,9.42,68,68
Dennery,LC,4/18/2018 18:00,13.9,-60.89,86,13.87,75,66
Kampene,CD,4/18/2018 18:26,-3.59,26.67,77.59,2.48,0,72
Katangli,RU,4/18/2018 18:26,51.71,143.23,29.35,4.05,12,92
Wufeng,TW,4/18/2018 17:30,24.63,121.12,68,4.7,20,88
Vani,GE,4/18/2018 17:30,42.09,42.51,57.2,8.05,40,76
Marathon,CA,4/18/2018 18:00,48.72,-86.38,39.2,13.87,20,27
Natchez,US,4/18/2018 17:23,31.56,-91.4,75.2,10.29,75,64
Warkworth,NZ,4/18/2018 18:00,-36.4,174.66,55.4,3.36,76,76
Oskarshamn,SE,4/18/2018 17:50,57.26,16.44,62.6,12.75,0,55
Marawi,PH,4/18/2018 18:26,8,124.29,66.79,2.15,36,99
Nanakuli,US,4/18/2018 17:57,21.39,-158.15,77,6.93,40,83
Dunga Bunga,PK,4/18/2018 18:26,29.75,73.24,75.52,2.93,0,52
Vilyuysk,RU,4/18/2018 18:26,63.75,121.63,31.6,8.41,88,90
Bela Vista,BR,4/18/2018 18:26,-22.11,-56.53,81.28,13.78,68,67
Aztec,US,4/18/2018 17:53,36.82,-107.99,48.2,4.61,1,15
Mount Airy,US,4/18/2018 18:15,39.38,-77.15,57.2,4.7,1,43
Muros,ES,4/18/2018 18:00,42.77,-9.06,64.4,11.41,0,45
Vila Velha,BR,4/18/2018 18:00,-3.71,-38.6,86,14.99,20,62
Brigham City,US,4/18/2018 17:58,41.51,-112.02,51.8,3.38,1,26
Cap-aux-Meules,CA,4/18/2018 18:00,47.38,-61.86,37.4,11.41,75,93
Yar-Sale,RU,4/18/2018 18:26,66.83,70.83,25.57,25.75,80,89
Maracaibo,CO,4/18/2018 18:00,3.41,-75.78,84.2,5.82,40,54
Yaring,TH,4/18/2018 18:26,6.87,101.37,78.49,4.16,56,80
Inirida,CO,4/18/2018 18:26,3.87,-67.92,72.91,3.6,92,98
Pisco,PE,4/18/2018 18:00,-13.71,-76.2,77,13.87,0,65
Coquimbo,CL,4/18/2018 17:00,-29.95,-71.34,57.2,9.17,90,87
Ahipara,NZ,4/18/2018 18:26,-35.17,173.16,59.5,8.63,80,89
Teluknaga,ID,4/18/2018 18:00,-6.1,106.64,80.6,3.36,20,88
Khorixas,NA,4/18/2018 18:26,-20.37,14.96,75.79,4.5,44,57
Kisesa,TZ,4/18/2018 17:00,-2.55,33.05,75.2,9.53,20,78
Conde,BR,4/18/2018 18:26,-11.81,-37.61,85.42,8.63,32,69
Sao Raimundo das Mangabeiras,BR,4/18/2018 18:26,-7.02,-45.48,94.24,13.44,68,35
Caxito,BR,4/18/2018 18:00,-22.65,-42.51,82.4,6.93,40,54
Kirakira,SB,4/18/2018 18:26,-10.46,161.92,79.03,13,88,100
Aklavik,CA,4/18/2018 18:00,68.22,-135.01,3.2,11.41,40,71
Zyryanka,RU,4/18/2018 18:26,65.73,150.89,6.22,2.15,20,72
Birao,CF,4/18/2018 18:26,10.3,22.78,81.37,7.07,0,14
Cap Malheureux,MU,4/18/2018 18:00,-19.98,57.61,78.8,9.17,75,88
Ulladulla,AU,4/18/2018 17:00,-35.36,150.48,50,4.7,8,100
Delta del Tigre,UY,4/18/2018 18:00,-34.76,-56.41,80.6,11.41,40,65
Mayo,CA,4/18/2018 18:00,63.59,-135.9,26.6,3.6,20,42
Safford,US,4/18/2018 17:51,32.83,-109.71,69.8,8.05,1,9
Laguna,MX,4/18/2018 17:46,27.52,-110.01,84.2,4.7,20,16
Toamasina,MG,4/18/2018 18:00,-18.17,49.38,75.2,6.93,75,88
Batagay-Alyta,RU,4/18/2018 18:26,67.8,130.41,13.87,2.82,32,84
Karmala,IN,4/18/2018 18:26,18.41,75.19,80.2,9.64,20,52
Kutum,SD,4/18/2018 18:26,14.2,24.66,73.63,9.75,0,11
Natal,BR,4/18/2018 17:00,-5.81,-35.21,87.8,16.11,40,58
Laurel,US,4/18/2018 17:53,45.67,-108.77,51.8,12.75,40,27
Pangody,RU,4/18/2018 18:26,65.85,74.49,19.81,24.07,80,87
Mahon,IE,4/18/2018 17:30,51.89,-8.4,51.8,17.22,90,100
Sambava,MG,4/18/2018 18:26,-14.27,50.17,80.02,19.26,48,100
Wates,ID,4/18/2018 18:26,-7.86,110.16,71.92,3.15,32,99
Salym,RU,4/18/2018 18:26,60.06,71.48,18.46,7.18,12,75
Atasu,KZ,4/18/2018 18:26,48.68,71.64,44.11,13.67,80,93
Isla Vista,US,4/18/2018 17:56,34.41,-119.86,62.6,8.05,1,63
Mirnyy,RU,4/18/2018 18:26,56.57,36.46,47.35,11.99,76,87
Port Lincoln,AU,4/18/2018 18:26,-34.72,135.86,61.21,1.81,0,93
Mount Gambier,AU,4/18/2018 18:22,-37.83,140.78,50.32,3.94,76,81
Iguape,BR,4/18/2018 18:26,-24.7,-47.56,78.58,10.76,0,86
Palmer,AU,4/18/2018 18:00,-34.85,139.16,59,8.05,0,72
Nyazepetrovsk,RU,4/18/2018 18:26,56.06,59.6,19.99,2.59,0,77
Dubbo,AU,4/18/2018 18:00,-32.25,148.6,62.6,10.29,90,72
Plettenberg Bay,ZA,4/18/2018 18:26,-34.05,23.37,60.04,20.04,92,99
Dukat,RS,4/18/2018 18:26,42.44,22.31,54.37,2.04,68,89
Terra Santa,BR,4/18/2018 18:26,-2.1,-56.49,82.99,3.15,36,94
Vanimo,PG,4/18/2018 18:26,-2.67,141.3,83.89,9.19,48,100
Ruwi,OM,4/18/2018 17:50,23.6,58.55,86,2.24,0,62
Luorong,CN,4/18/2018 18:26,24.41,109.6,59.23,2.48,76,88
Moron,VE,4/18/2018 18:00,10.49,-68.2,80.6,3.36,75,69
Poretskoye,RU,4/18/2018 18:26,55.2,46.33,47.53,8.3,92,89
Rincon,US,4/18/2018 17:56,32.3,-81.24,84.2,17.22,20,25
Necochea,AR,4/18/2018 18:26,-38.55,-58.74,66.52,5.39,0,82
Los Andes,CL,4/18/2018 17:00,-32.83,-70.6,75.2,5.82,0,40
Besikduzu,TR,4/18/2018 17:50,41.05,39.23,55.4,3.36,0,87
Severobaykalsk,RU,4/18/2018 18:26,55.65,109.32,13.42,2.82,8,67
Umm Bab,QA,4/18/2018 18:26,25.21,50.81,72.19,10.76,0,40
Airai,TL,4/18/2018 18:26,-8.93,125.41,67.69,1.36,20,82
Kalevala,FI,4/18/2018 18:26,64.12,29.58,35.11,3.6,12,88
Bogovina,RS,4/18/2018 18:00,43.9,21.94,59,14.99,40,87
Bogovarovo,RU,4/18/2018 18:26,58.98,47.02,33.85,6.17,0,81
Same,TL,4/18/2018 18:26,-9,125.65,67.69,1.36,20,82
Yuanping,CN,4/18/2018 18:26,38.72,112.71,47.08,3.71,0,59
Constitucion,MX,4/18/2018 17:43,23.99,-104.67,73.4,2.24,5,17
Mattru,SL,4/18/2018 18:26,7.62,-11.83,89.38,7.52,20,53
Merrill,US,4/18/2018 17:53,42.03,-121.6,46.4,9.17,75,45
Prince Rupert,CA,4/18/2018 18:04,54.32,-130.32,44.6,14.99,90,87
Pecos,US,4/18/2018 17:55,31.42,-103.49,71.6,4.7,1,12
Penzance,GB,4/18/2018 17:50,50.12,-5.53,62.6,17.22,0,63
Basco,US,4/18/2018 18:15,40.33,-91.2,46.4,9.17,90,66
Altos,BR,4/18/2018 18:00,-5.04,-42.46,91.4,5.82,75,55
Touros,BR,4/18/2018 18:26,-5.2,-35.46,85.96,15.23,8,70
Bergerac,FR,4/18/2018 18:00,44.85,0.49,77,6.93,0,38
Maues,BR,4/18/2018 18:26,-3.38,-57.72,84.79,2.93,32,79
Fort Nelson,CA,4/18/2018 18:00,58.81,-122.69,41,6.93,75,41
Dwarka,IN,4/18/2018 17:30,28.58,77.04,87.8,6.93,0,25
Kondinskoye,RU,4/18/2018 18:26,59.65,67.41,27.37,9.42,36,75
Arman,RU,4/18/2018 17:00,59.7,150.17,1.4,2.93,0,91
Marsh Harbour,BS,4/18/2018 18:26,26.54,-77.06,73.81,8.19,0,100
Chingirlau,KZ,4/18/2018 18:26,51.09,54.08,55.54,8.3,88,53
Yerbogachen,RU,4/18/2018 18:26,61.28,108.01,24.94,13.67,68,55
Peterhead,AU,4/18/2018 18:00,-34.83,138.5,59,8.05,0,72
Gramada,RS,4/18/2018 18:00,42.4,21.69,64.4,4.83,20,59
Kinsale,IE,4/18/2018 17:30,51.71,-8.52,51.8,17.22,90,100
Buchanan,LR,4/18/2018 18:00,5.88,-10.05,84.2,9.17,75,83
Westport,IE,4/18/2018 17:30,53.8,-9.52,55.4,26.4,75,76
Luderitz,NA,4/18/2018 18:26,-26.65,15.16,60.76,12.44,0,84
Bulungu,CD,4/18/2018 18:26,-4.54,18.6,81.19,6.96,0,72
Bilibino,RU,4/18/2018 18:26,68.06,166.44,12.88,2.15,32,68
San Patricio,PY,4/18/2018 18:26,-26.98,-56.83,86.05,4.61,12,63
Gimli,CA,4/18/2018 18:26,50.63,-96.99,41.95,4.05,36,71
Krasnyy Yar,RU,4/18/2018 18:26,50.7,44.73,57.7,17.25,92,74
Sawakin,SD,4/18/2018 17:00,19.1,37.33,84.2,6.93,0,48
Zhigansk,RU,4/18/2018 18:26,66.77,123.37,28.27,7.74,92,67
Cam Ranh,VN,4/18/2018 18:26,11.92,109.15,74.53,5.73,68,100
Nikolsk,RU,4/18/2018 18:26,59.53,45.45,31.51,4.72,0,88
Canutama,BR,4/18/2018 18:26,-6.53,-64.38,86.95,4.16,76,67
Araguari,BR,4/18/2018 18:00,-18.65,-48.19,73.4,8.05,75,60
Channel-Port aux Basques,CA,4/18/2018 18:26,47.57,-59.14,34.66,7.52,76,95
Rafaela,AR,4/18/2018 18:26,-31.25,-61.49,89.29,13.22,24,47
Seoul,KR,4/18/2018 17:58,37.57,126.98,46.4,3.36,20,86
Ayia Anna,CY,4/18/2018 18:00,34.94,33.48,69.8,2.24,0,52
Harper,US,4/18/2018 17:55,30.3,-99.24,77,14.99,1,22
Yumen,CN,4/18/2018 18:26,40.29,97.04,50.77,3.71,92,37
Doctor Arroyo,MX,4/18/2018 18:26,23.67,-100.18,82.36,5.28,0,28
Robertsport,LR,4/18/2018 18:26,6.75,-11.37,82.81,10.42,8,100
Mnogovershinnyy,RU,4/18/2018 18:26,53.94,139.92,19.63,2.04,0,74
Bratislava,SK,4/18/2018 18:00,48.15,17.11,66.2,9.17,0,45
Ankpa,NG,4/18/2018 18:26,7.37,7.63,86.32,5.28,20,65
Lubao,PH,4/18/2018 18:00,14.94,120.6,80.6,6.93,40,74
Constantine,DZ,4/18/2018 18:00,36.36,6.61,55.4,5.82,40,87
Amga,RU,4/18/2018 18:26,60.89,131.98,25.39,4.83,0,88
Nemuro,JP,4/18/2018 18:26,43.32,145.57,38.71,12.66,92,90
Morgan City,US,4/18/2018 17:56,29.7,-91.21,78.8,13.87,75,65
Kramat,ID,4/18/2018 18:26,-7.04,112.64,78.67,3.49,24,99
Wanning,AT,4/18/2018 17:50,48.64,13.53,68,2.24,0,42
Rawson,AR,4/18/2018 18:26,-43.3,-65.11,74.62,10.87,0,24
Maneromango,TZ,4/18/2018 17:00,-7.2,38.78,75.2,2.93,75,100
Kostomuksha,RU,4/18/2018 18:26,64.59,30.6,35.11,4.05,0,86
Hervey Bay,AU,4/18/2018 18:26,-25.3,152.85,74.35,9.53,56,100
Alibag,IN,4/18/2018 17:30,18.64,72.88,87.8,6.93,0,70
Caba,PH,4/18/2018 18:26,16.43,120.34,69.94,2.71,48,98
Kjollefjord,NO,4/18/2018 17:50,70.95,27.35,33.8,12.75,75,80
Gushikawa,JP,4/18/2018 17:56,26.35,127.87,68,4.7,20,87
Cabinda,AO,4/18/2018 18:26,-5.56,12.19,83.17,12.1,32,98
Haines Junction,CA,4/18/2018 18:26,60.75,-137.51,21.61,2.37,32,79
Chake Chake,TZ,4/18/2018 18:26,-5.25,39.77,78.94,15.01,92,100
Saint-Augustin,FR,4/18/2018 18:00,44.83,-0.61,78.8,11.41,0,36
Kungurtug,RU,4/18/2018 18:26,50.6,97.53,26.11,2.93,56,75
Sobolevo,RU,4/18/2018 18:26,54.43,31.9,47.98,19.15,92,92
Abu Dhabi,AE,4/18/2018 17:00,24.47,54.37,78.8,9.17,0,54
Ozernovskiy,RU,4/18/2018 18:26,51.5,156.52,30.25,7.4,88,92
Benjamin Aceval,PY,4/18/2018 18:00,-24.97,-57.57,87.8,9.17,20,52
Cocal,BR,4/18/2018 18:00,-3.47,-41.56,89.6,12.75,40,70
Sonqor,IR,4/18/2018 18:00,34.78,47.6,51.8,9.17,0,53
Serebryanyy Bor,RU,4/18/2018 18:26,56.8,124.8,28.99,6.51,56,62
Dunedin,NZ,4/18/2018 18:26,-45.87,170.5,51.04,12.77,64,63
Wewak,PG,4/18/2018 18:26,-3.55,143.63,75.97,2.15,68,98
Tatarsk,RU,4/18/2018 18:26,55.22,75.96,18.73,6.62,0,75
Botro,CI,4/18/2018 17:00,7.85,-5.31,91.4,4.7,75,55
Rurrenabaque,BO,4/18/2018 18:00,-14.44,-67.53,77,2.04,75,88
Prince Albert,CA,4/18/2018 18:00,53.2,-105.75,41,9.17,5,65
Tecoanapa,MX,4/18/2018 17:50,16.99,-99.26,86,4.7,5,62
Alanya,TR,4/18/2018 18:23,36.55,32,62.92,4.16,0,100
Soma,JP,4/18/2018 18:27,37.8,140.92,45.55,3.15,0,100
Flinders,AU,4/18/2018 17:00,-34.58,150.85,50,4.7,12,100
Tirumullaivasal,IN,4/18/2018 18:27,11.24,79.84,82.27,9.64,0,92
Waipawa,NZ,4/18/2018 18:27,-39.94,176.59,47.35,9.31,12,82
Silver City,US,4/18/2018 17:55,32.77,-108.28,68,5.82,1,11
Lorengau,PG,4/18/2018 18:27,-2.02,147.27,83.44,6.73,64,100
Prieska,ZA,4/18/2018 18:27,-29.67,22.74,60.85,5.5,8,92
Brae,GB,4/18/2018 17:50,60.4,-1.35,51.8,14.99,0,81
Ternate,PH,4/18/2018 18:00,14.29,120.72,80.6,8.05,40,74
Brunswick,DE,4/18/2018 17:50,52.26,10.53,73.4,1.12,0,37
Saint Anthony,US,4/18/2018 17:56,43.97,-111.68,44.6,9.17,1,35
Ekhabi,RU,4/18/2018 18:27,53.51,142.97,14.32,4.72,0,68
Macomer,IT,4/18/2018 17:50,40.26,8.77,64.4,9.17,0,77
Manado,ID,4/18/2018 18:00,1.49,124.85,77,2.24,40,94
Lae,PG,4/18/2018 18:27,-6.72,146.98,68.77,1.81,48,100
Agadez,NE,4/18/2018 18:00,16.97,7.99,102.2,4.7,0,15
Kailua,US,4/18/2018 17:57,21.39,-157.74,77,11.41,75,83
Panzhihua,CN,4/18/2018 18:27,26.59,101.72,60.31,2.26,68,68
Port Pirie,AU,4/18/2018 18:00,-33.18,138.01,57.2,8.05,20,76
San Cristobal,EC,4/18/2018 18:00,-0.39,-78.55,66.2,18.34,75,52
Grand Gaube,MU,4/18/2018 18:00,-20.01,57.66,78.8,9.17,75,88
Shimoda,JP,4/18/2018 17:38,34.7,138.93,59,5.82,75,82
Bowen,AU,4/18/2018 17:00,-20.01,148.25,68,6.93,20,100
Yangjiang,CN,4/18/2018 18:27,21.85,111.96,72.19,9.98,92,100
Wajima,JP,4/18/2018 18:27,37.4,136.9,42.94,4.05,0,87
Portland,US,4/18/2018 17:56,45.52,-122.67,51.8,6.93,90,70
Bethel,US,4/18/2018 17:53,60.79,-161.76,39.2,17.22,1,69
Szedres,HU,4/18/2018 18:27,46.47,18.68,60.13,6.06,0,68
Moose Factory,CA,4/18/2018 18:00,51.26,-80.61,30.2,20.8,20,63
Verkhoyansk,RU,4/18/2018 18:27,67.55,133.39,9.01,2.59,24,68
Pacifica,US,4/18/2018 18:00,37.61,-122.49,55.4,9.17,40,76
Mytishchi,RU,4/18/2018 17:30,55.91,37.73,44.6,11.18,90,100
Nyurba,RU,4/18/2018 18:27,63.29,118.35,27.55,6.96,32,72
Jhelum,PK,4/18/2018 18:27,32.94,73.72,62.47,10.31,48,80
Seymchan,RU,4/18/2018 18:27,62.93,152.39,-0.99,3.04,8,54
Beloha,MG,4/18/2018 18:27,-25.17,45.06,75.16,12.44,20,69
Castelfranco Emilia,IT,4/18/2018 17:55,44.59,11.05,69.8,5.82,0,48
Kulu,CD,4/18/2018 18:27,3.47,23.69,83.44,3.38,12,57
Kaele,CM,4/18/2018 17:00,10.11,14.45,91.4,5.82,0,41
Guhagar,IN,4/18/2018 18:27,17.48,73.19,82.27,7.96,8,94
Los Amates,GT,4/18/2018 18:27,15.26,-89.1,81.55,2.59,8,59
Tessalit,ML,4/18/2018 18:27,20.2,1.01,86.14,6.62,0,10
Tayoltita,MX,4/18/2018 18:27,24.11,-105.93,88.21,2.15,0,14
Novo Aripuana,BR,4/18/2018 18:27,-5.12,-60.38,83.62,3.15,44,80
Vila,IT,4/18/2018 17:55,45.18,8.4,75.2,6.93,0,46
La Ronge,CA,4/18/2018 18:00,55.1,-105.3,39.2,11.41,90,60
Wonthaggi,AU,4/18/2018 18:27,-38.6,145.59,50.23,2.59,68,94
Wexford,US,4/18/2018 17:56,40.63,-80.06,48.2,8.05,1,52
Quatre Cocos,MU,4/18/2018 18:00,-20.21,57.76,78.8,9.17,75,88
Lethem,GY,4/18/2018 18:27,3.38,-59.8,84.16,6.96,48,95
Zhob,PK,4/18/2018 18:27,31.34,69.45,54.19,6.96,0,36
Rundu,NA,4/18/2018 18:27,-17.91,19.77,72.64,4.94,0,41
Diofior,SN,4/18/2018 17:00,14.19,-16.66,98.6,4.7,0,25
Biak,ID,4/18/2018 18:27,-0.91,122.88,76.87,2.93,68,100
Novikovo,UA,4/18/2018 18:27,45.05,34.56,57.34,5.73,0,72
Caucaia,BR,4/18/2018 17:00,-3.73,-38.66,87.8,17.22,40,62
Almelo,NL,4/18/2018 17:55,52.36,6.66,75.2,6.93,90,46
Maraba,BR,4/18/2018 18:00,-5.35,-49.1,98.6,5.82,20,47
Laerdalsoyri,NO,4/18/2018 17:50,61.1,7.48,42.8,1.12,75,87
Eydhafushi,MV,4/18/2018 18:27,5.1,73.07,80.11,6.62,76,100
Swellendam,ZA,4/18/2018 18:00,-34.02,20.44,57.2,2.24,68,82
Sembakung,ID,4/18/2018 18:27,3.82,117.25,73.36,2.37,92,100
Castelo do Piaui,BR,4/18/2018 18:27,-5.32,-41.55,81.55,9.19,20,85
Straumen,NO,4/18/2018 17:50,63.87,11.3,48.2,4.7,90,93
Srednekolymsk,RU,4/18/2018 18:27,67.46,153.71,6.22,2.26,8,80
Ewo,CG,4/18/2018 18:27,-0.88,14.81,78.85,3.15,8,82
Marzuq,YE,4/18/2018 18:27,14.4,46.47,72.82,4.16,24,51
Riyadh,SA,4/18/2018 18:00,24.63,46.72,77,4.7,0,13
Pontes e Lacerda,BR,4/18/2018 18:27,-15.23,-59.33,73.54,4.16,88,100
Mecca,SA,4/18/2018 18:00,21.43,39.83,93.2,3.15,0,30
Maceio,BR,4/18/2018 18:00,-9.67,-35.74,82.4,12.75,40,61
Niamey,NE,4/18/2018 18:00,13.52,2.11,104,9.17,0,6
Stromness,CA,4/18/2018 18:00,42.87,-79.55,39.2,12.75,90,80
Ritchie,ZA,4/18/2018 18:00,-29.03,24.6,66.2,3.36,0,82
Umm Kaddadah,SD,4/18/2018 18:27,13.6,26.69,81.73,10.42,0,7
Dossor,KZ,4/18/2018 18:27,47.52,52.98,51.67,12.33,24,63
Puerto Ayacucho,CO,4/18/2018 18:00,5.66,-67.63,87.8,3.36,75,62
Bjorkelangen,NO,4/18/2018 18:27,59.88,11.57,37.81,2.71,8,90
Ravar,IR,4/18/2018 18:27,31.27,56.81,51.67,5.17,68,42
Kalemie,CD,4/18/2018 18:27,-5.95,29.2,75.97,9.98,12,100
Gap,FR,4/18/2018 18:27,44.56,6.08,62.92,2.26,0,38
Guane,CU,4/18/2018 18:27,22.2,-84.09,85.42,5.95,0,47
Cedar City,US,4/18/2018 17:53,37.68,-113.06,50,3.36,1,21
Merauke,ID,4/18/2018 18:27,-8.49,140.4,78.58,5.5,68,100
Holme,GB,4/18/2018 17:50,53.7,-2.31,69.8,8.05,0,52
Hovd,NO,4/18/2018 17:50,63.83,10.7,48.2,4.7,90,93
